Source,Target,Category,Type
TotalEnergies,Le Bolchejuif,Mention,Undirected
TotalEnergies,Teïssir,Mention,Undirected
TotalEnergies,Celia Gautier,Mention,Undirected
TotalEnergies,Maxence Cordiez,Mention,Undirected
TotalEnergies,Mac Lesggy 3 x 💉,Mention,Undirected
TotalEnergies,Julie Garnier 🐝🐢✌️,Mention,Undirected
TotalEnergies,No Pasaran (copyright @sidpics),Mention,Undirected
TotalEnergies,Stacy Algrain,Mention,Undirected
TotalEnergies,Edina Ifticene,Mention,Undirected
TotalEnergies,Juggtft,Mention,Undirected
TotalEnergies,Soumaya Benaissa,Mention,Undirected
TotalEnergies,J-F Julliard,Mention,Undirected
TotalEnergies,Bastien 🌻🇪🇺🇺🇦,Mention,Undirected
TotalEnergies,Patrick Pouyanné,Mention,Undirected
TotalEnergies,350.org - France,Mention,Undirected
TotalEnergies,Azur_S,Mention,Undirected
TotalEnergies,Reporterre | Le quotidien de l'écologie,Mention,Undirected
TotalEnergies,Delphine Batho,Mention,Undirected
TotalEnergies,Greenpeace Paris,Mention,Undirected
TotalEnergies,Matthieu Auzanneau,Mention,Undirected
TotalEnergies,Camille Crosnier,Mention,Undirected
TotalEnergies,Alternatiba Paris,Mention,Undirected
TotalEnergies,Shaamit,Mention,Undirected
TotalEnergies,Martin Bertran,Mention,Undirected
TotalEnergies,Clara Gonzales,Mention,Undirected
TotalEnergies,vert,Mention,Undirected
TotalEnergies,Emma Tosini,Mention,Undirected
TotalEnergies,Pour un réveil écologique,Mention,Undirected
TotalEnergies,Defend Intelligence,Mention,Undirected
TotalEnergies,TotalEnergies Marketing Cameroun,Mention,Undirected
TotalEnergies,Clément Sénéchal,Mention,Undirected
TotalEnergies,PumP_uP_The_VolumE,Mention,Undirected
TotalEnergies,Frederic Amiel,Mention,Undirected
TotalEnergies,Corinne Reverbel 🐭,Mention,Undirected
TotalEnergies,Alexandre Poidatz,Mention,Undirected
TotalEnergies,Ires Prφbere🔻🕊,Mention,Undirected
TotalEnergies,Mathilde Panot,Mention,Undirected
TotalEnergies,Gabriel Mazzolini,Mention,Undirected
TotalEnergies,L'avis de Mamère le podcast,Mention,Undirected
TotalEnergies,Djoe_ 🐢,Mention,Undirected
TotalEnergies,Conf' Paysanne,Mention,Undirected
TotalEnergies,~ le mouvement,Mention,Undirected
TotalEnergies,Notre Affaire à Tous,Mention,Undirected
TotalEnergies,Marie Cohuet ✌🏻,Mention,Undirected
TotalEnergies,༓☾Nǟɖʏǟ🐢☽༓,Mention,Undirected
TotalEnergies,mister renard,Mention,Undirected
TotalEnergies,Ministère des Hydrocarbures RDC,Mention,Undirected
TotalEnergies,Mister Henry,Mention,Undirected
TotalEnergies,Anfré Antoine,Mention,Undirected
TotalEnergies,François Dos Santos,Mention,Undirected
TotalEnergies,Noukié Cédrik🇨🇲✌🏾,Mention,Undirected
TotalEnergies,QG le média libre,Mention,Undirected
TotalEnergies,TotalEnergies Press,Mention,Undirected
TotalEnergies,Frédéric Sergent,Mention,Undirected
TotalEnergies,Nicolas Haeringer,Mention,Undirected
TotalEnergies,Nassira El Moaddem,Mention,Undirected
TotalEnergies,ChampagneRadis,Mention,Undirected
TotalEnergies,Ami des lobbies,Mention,Undirected
TotalEnergies,Laure Ducos,Mention,Undirected
TotalEnergies,François Momboisse,Mention,Undirected
TotalEnergies,Charles de Lacombe,Mention,Undirected
TotalEnergies,Sarah Fayolle,Mention,Undirected
TotalEnergies,Mediapart,Mention,Undirected
TotalEnergies,👀,Mention,Undirected
TotalEnergies,Rwanda Broadcasting Agency (RBA),Mention,Undirected
TotalEnergies,Clément Pairot ✌️🌍✊,Mention,Undirected
TotalEnergies,Nicolas,Mention,Undirected
TotalEnergies,Matthieu Pechberty,Mention,Undirected
TotalEnergies,francoise degois,Mention,Undirected
TotalEnergies,jean-marie fardeau,Mention,Undirected
TotalEnergies,Rodolphe Saade,Mention,Undirected
TotalEnergies,Carine Thibaut,Mention,Undirected
TotalEnergies,Guillaume QUINTIN 🏳️‍🌈🔻,Mention,Undirected
TotalEnergies,奈良シカマル ☮️,Mention,Undirected
TotalEnergies,Bonaventure Bondo,Mention,Undirected
TotalEnergies,Lindgaard,Mention,Undirected
TotalEnergies,Val Waeselynck,Mention,Undirected
TotalEnergies,Info-Birmanie,Mention,Undirected
TotalEnergies,L'affaire du siècle,Mention,Undirected
TotalEnergies,Arnaud,Mention,Undirected
TotalEnergies,Fridays For Future,Mention,Undirected
TotalEnergies,Le stagiaire,Mention,Undirected
TotalEnergies,Marie Toussaint 🌍🌏,Mention,Undirected
TotalEnergies,ironsat🌿,Mention,Undirected
TotalEnergies,Hélène Bourges,Mention,Undirected
TotalEnergies,Romain Ioualalen,Mention,Undirected
TotalEnergies,Basilic Podcast - Jeane,Mention,Undirected
TotalEnergies,Samuel Leré,Mention,Undirected
TotalEnergies,JPCAPDAIL,Mention,Undirected
TotalEnergies,Marine Tondelier 🇫🇷🇪🇺🌻,Mention,Undirected
TotalEnergies,Anne-Sophie Lahaye,Mention,Undirected
TotalEnergies,ENSOSP,Mention,Undirected
TotalEnergies,JE Saulnier,Mention,Undirected
TotalEnergies,Léo Coutellec - Candidat Nupes 1ère circo Nièvre,Mention,Undirected
TotalEnergies,Jérôme Gleizes,Mention,Undirected
TotalEnergies,Être_libre 🕊️🇺🇦🏳️ vs. 🙉🙈,Mention,Undirected
TotalEnergies,Cappu Fibré,Mention,Undirected
TotalEnergies,Princertitude,Mention,Undirected
TotalEnergies,Greenpeace Versailles,Mention,Undirected
TotalEnergies,EELV,Mention,Undirected
TotalEnergies,DimancheEnPolitique,Mention,Undirected
TotalEnergies,Les Amis de la Terre International,Mention,Undirected
TotalEnergies,Extinction Rebellion Paris / Île-de-France,Mention,Undirected
TotalEnergies,Махновщина,Mention,Undirected
TotalEnergies,Football Together,Mention,Undirected
TotalEnergies,Eric MARTIN,Mention,Undirected
TotalEnergies,Le Duc,Mention,Undirected
TotalEnergies,t-lab,Mention,Undirected
TotalEnergies,On Est Prêt,Mention,Undirected
TotalEnergies,Bike Friday,Mention,Undirected
TotalEnergies,Fabrice Blin φ 🕊️🐢,Mention,Undirected
TotalEnergies,"Syrah Chat, gj. 😡/No borders/Ni mlp/ni Macron.",Mention,Undirected
TotalEnergies,dr qooqie 🌐 - PhD léger,Mention,Undirected
TotalEnergies,Géraldine Woessner,Mention,Undirected
TotalEnergies,Fabrice,Mention,Undirected
TotalEnergies,cardojo_,Mention,Undirected
TotalEnergies,FuryOtS,Mention,Undirected
TotalEnergies,Alternatiba ANV Rhône,Mention,Undirected
TotalEnergies,Nicolas Nace,Mention,Undirected
TotalEnergies,Ambassade de France au Rwanda 🇫🇷🇪🇺,Mention,Undirected
TotalEnergies,Suya,Mention,Undirected
TotalEnergies,Génération Ecologie,Mention,Undirected
TotalEnergies,𝑴𝒊𝒄𝒉𝒆𝒍 𝑷𝒓𝒐𝒑𝒐𝒔 🇪🇺 #Ensemble,Mention,Undirected
TotalEnergies,Bobbin finaliste Secret Story 2018,Mention,Undirected
TotalEnergies,Claude Gruffat,Mention,Undirected
TotalEnergies,Noëlla Kizubanata Kabundji 👩🏼‍🔬🩸🦠🇨🇩,Mention,Undirected
TotalEnergies,Geron Nina,Mention,Undirected
TotalEnergies,Eurodéputé·e·s EE 🌍,Mention,Undirected
TotalEnergies,Alexis Quentin,Mention,Undirected
TotalEnergies,Fati N'Zi-Hassane,Mention,Undirected
TotalEnergies,Maxitator,Mention,Undirected
TotalEnergies,ValK 💫 #InactionDirecte,Mention,Undirected
TotalEnergies,Simon Assoun שמעון הסון,Mention,Undirected
TotalEnergies,Akira junior,Mention,Undirected
TotalEnergies,Audrey Boehly,Mention,Undirected
TotalEnergies,Behrang Shirizadeh,Mention,Undirected
TotalEnergies,Extinction Rebellion France 🐝🌺,Mention,Undirected
TotalEnergies,POURQUOI ?,Mention,Undirected
TotalEnergies,Pauline 🌿✌️,Mention,Undirected
TotalEnergies,Brice 🌻✌️,Mention,Undirected
TotalEnergies,Niko 🏳️‍🌈✌️{Николай Клавович Лефэвре},Mention,Undirected
TotalEnergies,KantarFR,Mention,Undirected
TotalEnergies,Konoarde,Mention,Undirected
TotalEnergies,Résistance à l'Agression Publicitaire,Mention,Undirected
TotalEnergies,Benjamin Mary,Mention,Undirected
TotalEnergies,Audrey Alwett,Mention,Undirected
TotalEnergies,Kogutyak Volodymyr,Mention,Undirected
TotalEnergies,Fabien Bouglé,Mention,Undirected
TotalEnergies,Xavier CHOLIN,Mention,Undirected
TotalEnergies,François Thiollet,Mention,Undirected
TotalEnergies,Quentin Guillemain ✌️,Mention,Undirected
TotalEnergies,Aba,Mention,Undirected
TotalEnergies,Bruce,Mention,Undirected
TotalEnergies,GeekosPES,Mention,Undirected
TotalEnergies,Sherpa,Mention,Undirected
TotalEnergies,Maxime.L,Mention,Undirected
TotalEnergies,Gouvernement,Mention,Undirected
TotalEnergies,Ju ت,Mention,Undirected
TotalEnergies,『Tad』,Mention,Undirected
TotalEnergies,David Glotin,Mention,Undirected
TotalEnergies,"radioLogique☢️, je questionne pour comprendre.",Mention,Undirected
TotalEnergies,Dragonfire 🇺🇦,Mention,Undirected
TotalEnergies,RWANDA DEMOCRATIE,Mention,Undirected
TotalEnergies,Judge,Mention,Undirected
TotalEnergies,LostinCasa,Mention,Undirected
TotalEnergies,Abdelmalek Mohamed 🏭,Mention,Undirected
TotalEnergies,Espoir44,Mention,Undirected
TotalEnergies,isulana bianchi,Mention,Undirected
TotalEnergies,Victor L🇫🇷🇪🇺,Mention,Undirected
TotalEnergies,Révolution Permanente,Mention,Undirected
TotalEnergies,LCI,Mention,Undirected
TotalEnergies,David Izzo,Mention,Undirected
TotalEnergies,Christiane Lambert,Mention,Undirected
TotalEnergies,Eva Sadoun,Mention,Undirected
TotalEnergies,Fernier Alexandre,Mention,Undirected
TotalEnergies,Stéphane Loisel ✌,Mention,Undirected
TotalEnergies,Off Tracteur,Mention,Undirected
TotalEnergies,Christophe Grison,Mention,Undirected
TotalEnergies,Gertrand Cera,Mention,Undirected
TotalEnergies,Michel Cucchi 🇺🇦 🇪🇺✌️,Mention,Undirected
TotalEnergies,Frederick M 💙💛 #NUPES 💚❤️ #JeSuisAmish 🌻🇪🇺,Mention,Undirected
TotalEnergies,Anne-Elisabeth Moutet 🇫🇷 🇺🇦,Mention,Undirected
TotalEnergies,Verlaine,Mention,Undirected
TotalEnergies,Geneviève Garrigos,Mention,Undirected
TotalEnergies,BearingPoint FR,Mention,Undirected
TotalEnergies,Les Echos Start,Mention,Undirected
TotalEnergies,Pablo FLYE,Mention,Undirected
TotalEnergies,Julie Laernoes,Mention,Undirected
TotalEnergies,ThePlaneTruth🐢🐢🐢🐢,Mention,Undirected
TotalEnergies,Rousselet Yannick,Mention,Undirected
Greenpeace France,Martine Roffinella 🌈,Mention,Undirected
Greenpeace France,Alexandre-Reza Kokabi,Mention,Undirected
Greenpeace France,Attac France,Mention,Undirected
Greenpeace France,Mickaël Correia,Mention,Undirected
Greenpeace France,ANV-COP21,Mention,Undirected
Greenpeace France,No Pasaran (copyright @sidpics),Mention,Undirected
Greenpeace France,Alternatiba Paris,Mention,Undirected
Greenpeace France,Les Amis de la Terre FR,Mention,Undirected
Greenpeace France,Azur_S,Mention,Undirected
Greenpeace France,Shaamit,Mention,Undirected
Greenpeace France,Clara Gonzales,Mention,Undirected
Greenpeace France,Emma Tosini,Mention,Undirected
Greenpeace France,Clément Sénéchal,Mention,Undirected
Greenpeace France,PumP_uP_The_VolumE,Mention,Undirected
Greenpeace France,Ires Prφbere🔻🕊,Mention,Undirected
